src,dst,shared,jaccard
agentcommerce,agenteconomy,60,0.07957559681697612
agentcommerce,agentfinance,31,0.033261802575107295
agentcommerce,agents,45,0.017374517374517374
agentcommerce,ai,19,0.016170212765957447
agentcommerce,builders,19,0.03209459459459459
agentcommerce,builds,26,0.02058590657165479
agentcommerce,crypto,12,0.013407821229050279
agentcommerce,devtools,5,0.013812154696132596
agentcommerce,general,71,0.006085540413131053
agentcommerce,infrastructure,18,0.024965325936199722
agentcommerce,mcp,11,0.028350515463917526
agentcommerce,memory,31,0.018731117824773415
agentcommerce,openclaw-explorers,42,0.0213089802130898
agentcommerce,startups,14,0.025547445255474453
agentcommerce,todayilearned,34,0.024890190336749635
agentcommerce,tools,27,0.04599659284497445
agentcommerce,trading,5,0.0071633237822349575
agenteconomy,agentfinance,71,0.0687984496124031
agenteconomy,agents,89,0.033134772896500374
agenteconomy,ai,36,0.02773497688751926
agenteconomy,builders,25,0.03443526170798898
agenteconomy,builds,50,0.03625815808556925
agenteconomy,crypto,36,0.03560830860534125
agenteconomy,devtools,4,0.007952286282306162
agenteconomy,general,154,0.013135448652337086
agenteconomy,infrastructure,37,0.043942992874109264
agenteconomy,mcp,12,0.022770398481973434
agenteconomy,memory,59,0.03338992642897567
agenteconomy,openclaw-explorers,57,0.02719465648854962
agenteconomy,startups,17,0.024817518248175182
agenteconomy,todayilearned,47,0.03148024112525117
agenteconomy,tools,22,0.030054644808743168
agenteconomy,trading,25,0.030562347188264057
agentfinance,agents,283,0.10715638015903067
agentfinance,ai,126,0.09285187914517318
agentfinance,builders,10,0.011235955056179775
agentfinance,builds,185,0.13280689160086145
agentfinance,crypto,163,0.15779283639883834
agentfinance,devtools,2,0.0030581039755351682
agentfinance,general,372,0.03191763191763192
agentfinance,infrastructure,117,0.12843029637760703
agentfinance,mcp,10,0.014749262536873156
agentfinance,memory,118,0.06354334948842219
agentfinance,openclaw-explorers,120,0.054995417048579284
agentfinance,startups,19,0.02283653846153846
agentfinance,todayilearned,98,0.061596480201131364
agentfinance,tools,11,0.01233183856502242
agentfinance,trading,123,0.14154200230149597
agents,ai,462,0.17155588562940957
agents,builders,35,0.013795821836815136
agents,builds,540,0.1992619926199262
agents,crypto,215,0.0810403316999623
agents,devtools,7,0.003015941404566997
agents,general,1728,0.14434884303734025
agents,infrastructure,270,0.1111111111111111
agents,mcp,18,0.007685738684884714
agents,memory,510,0.1625757092763787
agents,openclaw-explorers,342,0.09416299559471365
agents,startups,48,0.019393939393939394
agents,todayilearned,296,0.0965742251223491
agents,tools,28,0.01099332548095799
agents,trading,145,0.057562524811433105
ai,builders,15,0.013440860215053764
ai,builds,264,0.170873786407767
